# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 220, mean observations per image: 0
1 0.4240393795 0.5353793838 0.5852039663 -0.4371450994 0.1767952061 0.01673556686 0.8542581919 1 back_fisheye_image/00000.jpg

2 -0.5214907179 0.1217050857 0.8216234287 -0.1953720675 0.8473147173 -0.5614084475 -1.283743398 2 frontleft_fisheye_image/00000.jpg

3 -0.5070442564 -0.1711312666 0.8032266884 0.2616239642 0.8483917535 0.9553936429 -1.040369057 3 frontright_fisheye_image/00000.jpg

4 0.6240728468 0.7805143907 0.02900910841 -0.02210971347 -1.153241467 0.2260733809 0.1713837177 4 left_fisheye_image/00000.jpg

5 -0.6039335708 0.7961084297 0.0330397126 0.01959560087 -1.138889621 -0.344939663 -0.2582313075 5 right_fisheye_image/00000.jpg

6 0.4215515663 0.5541882073 0.5712787946 -0.4345230106 0.1836013452 -0.1268814087 1.307564998 1 back_fisheye_image/00001.jpg

7 -0.5225322412 0.1320831631 0.8151849819 -0.2121026641 1.048846643 -0.7788284375 -1.695106947 2 frontleft_fisheye_image/00001.jpg

8 -0.5131702104 -0.1626160814 0.8063070918 0.2451147059 1.067462781 1.250186889 -1.438072311 3 frontright_fisheye_image/00001.jpg

9 0.6176064202 0.7862430874 0.01779874205 -0.008205001581 -1.730154572 0.1994042222 0.2085744882 4 left_fisheye_image/00001.jpg

10 -0.6110394028 0.7913293604 0.01679464585 0.01210914799 -1.715564741 -0.34558029 -0.3038927028 5 right_fisheye_image/00001.jpg

11 0.5959802275 0.7861279242 0.1274464824 -0.1028000451 -1.949621438 0.0410384361 0.7783618108 1 back_fisheye_image/00002.jpg

12 -0.2919932421 0.5864853085 0.5769883768 -0.4877082556 0.8428950604 -2.389694299 -0.1977397285 2 frontleft_fisheye_image/00002.jpg

13 -0.5548684921 0.3467595507 0.7480993502 -0.110571844 0.8641268381 -0.8216260789 -2.207492493 3 frontright_fisheye_image/00002.jpg

14 0.5011787803 0.6461702919 -0.452932926 0.3551556683 -1.246220732 0.7348713024 -1.880482581 4 left_fisheye_image/00002.jpg

15 -0.5039485866 0.6501322762 -0.4467083443 -0.3518742682 -1.281798825 0.1715067141 1.766880308 5 right_fisheye_image/00002.jpg

16 0.2068146296 0.2647272724 0.7478239647 -0.572631206 2.010274311 -0.02728885397 1.056535082 1 back_fisheye_image/00003.jpg

17 -0.5642868478 -0.2200636403 0.7954698325 0.01949597805 0.9369509466 0.8987825131 -2.412715723 2 frontleft_fisheye_image/00003.jpg

18 -0.3670691378 -0.4851271859 0.6660884384 0.431553072 0.9358819156 2.641154702 -0.2896285835 3 frontright_fisheye_image/00003.jpg

19 0.55311693 0.7130009257 0.3414276414 -0.262903989 -1.470417604 -0.2404800487 1.926739374 4 left_fisheye_image/00003.jpg

20 -0.5568853084 0.7090128942 0.3425846445 0.264225719 -1.485634714 -0.7717272464 -2.019487703 5 right_fisheye_image/00003.jpg

21 0.1972966096 0.2612826318 0.7505402777 -0.5740163113 2.058831586 0.06674863821 0.607161929 1 back_fisheye_image/00004.jpg

22 -0.5621321367 -0.2303517223 0.7936346798 0.03300817934 0.7148246242 1.227145947 -1.979870767 2 frontleft_fisheye_image/00004.jpg

23 -0.3541766891 -0.4987644692 0.6543182299 0.4445902959 0.6672425593 2.357990728 0.3123907955 3 frontright_fisheye_image/00004.jpg

24 0.5502600994 0.6968108838 0.3630545376 -0.2825947947 -0.6498984163 -0.2244895053 2.037391914 4 left_fisheye_image/00004.jpg

25 -0.5415793348 0.7023905009 0.3661113023 0.2816059706 -0.6049803068 -0.8269230628 -2.120744311 5 right_fisheye_image/00004.jpg

26 0.5401829661 0.7121104918 0.3556755412 -0.2731225365 -0.7650328973 -0.1038505449 1.215802375 1 back_fisheye_image/00005.jpg

27 -0.4238201146 0.3902992234 0.7246228433 -0.3781068124 0.9753679011 -1.541223761 -1.082586289 2 frontleft_fisheye_image/00005.jpg

28 -0.5637853748 0.1092937655 0.81676829 0.05559212486 0.9819347401 0.3320209378 -1.821425211 3 frontright_fisheye_image/00005.jpg

29 0.580007518 0.7522424546 -0.2441927525 0.1951729187 -1.480077265 0.4396994691 -0.7496705085 4 left_fisheye_image/00005.jpg

30 -0.5866845928 0.7478017069 -0.2444810871 -0.1918926624 -1.444887335 -0.09829715528 0.6534734622 5 right_fisheye_image/00005.jpg

31 0.5922441845 0.781526115 -0.1549252858 0.1202576958 -1.304265016 0.3358422082 -0.4308741826 1 back_fisheye_image/00006.jpg

32 -0.1061353867 0.7578432514 0.3309469445 -0.5521621193 0.2643827313 -1.230665513 0.4660439389 2 frontleft_fisheye_image/00006.jpg

33 -0.4844367435 0.590093076 0.5743053467 -0.295439625 0.2843561693 -0.8891427826 -0.8581383527 3 frontright_fisheye_image/00006.jpg

34 -0.3438072073 -0.4414439657 0.6520770249 -0.5115851668 0.09470725523 0.5645132747 -1.245546314 4 left_fisheye_image/00006.jpg

35 0.3427472401 -0.4438626756 0.6531409086 0.5088390788 0.08350327248 0.03762347251 1.141807987 5 right_fisheye_image/00006.jpg

36 0.5068985772 0.65579582 0.4480488476 -0.3350192608 -0.1009893379 -0.1552301831 1.435834064 1 back_fisheye_image/00007.jpg

37 -0.4097529607 0.4061922757 0.7198005036 -0.3860020485 1.217651078 -1.748698642 -1.475867564 2 frontleft_fisheye_image/00007.jpg

38 -0.5609361612 0.1408986117 0.8148970448 0.03796064707 1.217417048 0.5306323008 -2.206495026 3 frontright_fisheye_image/00007.jpg

39 0.5684674149 0.7342296603 -0.2921775344 0.2288752773 -1.95702429 0.4885905507 -0.8969157726 4 left_fisheye_image/00007.jpg

40 -0.5682742686 0.7292299455 -0.2993329804 -0.2359826457 -1.92039335 -0.05574598222 0.8591167713 5 right_fisheye_image/00007.jpg

41 0.5641885254 0.742172199 0.2868644657 -0.2204098752 -1.118790597 -0.1898404561 1.54966192 1 back_fisheye_image/00008.jpg

42 -0.3846893703 0.4581650976 0.6859311624 -0.414243011 1.149426616 -2.037327279 -1.204484549 2 frontleft_fisheye_image/00008.jpg

43 -0.5619499772 0.1883776036 0.8054298383 0.002979458493 1.188727656 0.2116897914 -2.334323942 3 frontright_fisheye_image/00008.jpg

44 0.5595168169 0.7255009779 -0.3151790279 0.2474902888 -1.958869609 0.5412830485 -1.11417724 4 left_fisheye_image/00008.jpg

45 -0.5650295216 0.7219023828 -0.3129220259 -0.2483513543 -1.970166285 -0.02147029702 1.026875993 5 right_fisheye_image/00008.jpg

46 0.5790703853 0.7575668771 0.2438480685 -0.176940767 -1.459898832 -0.3173879888 1.913088349 1 back_fisheye_image/00009.jpg

47 -0.3564618771 0.5067928312 0.6518112944 -0.4373076639 1.300499635 -2.523272193 -1.340867742 2 frontleft_fisheye_image/00009.jpg

