# Image list with two lines of data per image:
#   IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 90, mean observations per image: 0
1 0.5764528719 0.7535536682 0.250598914 -0.1925075059 -0.8329061602 0.1488356622 0.1944888819 1 back_fisheye_image/00000.jpg

2 -0.5624355866 0.8162625396 0.1222379132 -0.04939200269 -1.127404374 -0.5233495092 -0.2607214928 2 frontleft_fisheye_image/00000.jpg

3 -0.4148326528 0.7216599895 0.4005663459 0.3829717121 -0.2144132787 -0.5295380493 -1.082474791 3 frontright_fisheye_image/00000.jpg

4 0.5481061965 0.7083178485 -0.3502503706 0.2742081339 -0.4877926688 0.4364430178 -0.8209164106 4 left_fisheye_image/00000.jpg

5 0.2752291244 0.347662529 0.7069218788 -0.5510364346 0.4770286397 0.05127568371 0.7152201604 5 right_fisheye_image/00000.jpg

6 0.5722816751 0.7571223254 0.24632362 -0.1964284677 -0.8372976261 0.1053173477 0.3776079396 1 back_fisheye_image/00001.jpg

7 -0.5663352439 0.8130767251 0.1230622773 -0.05501187676 -1.230494423 -0.6184916822 -0.4135547245 2 frontleft_fisheye_image/00001.jpg

8 -0.4172596068 0.7219431163 0.4032505862 0.3769370268 -0.1182506808 -0.6319563942 -1.256851414 3 frontright_fisheye_image/00001.jpg

9 0.543322014 0.7114774109 -0.3516546744 0.2737518455 -0.7266429642 0.4445389263 -0.8315206123 4 left_fisheye_image/00001.jpg

10 0.2757745054 0.3474937348 0.7037272427 -0.5549454877 0.7309762353 0.0546905504 0.7265721531 5 right_fisheye_image/00001.jpg

11 0.5728517905 0.7525260124 0.2621009515 -0.191959678 -0.807884503 0.01300530707 0.6161280064 1 back_fisheye_image/00002.jpg

12 -0.5617271232 0.8164856109 0.1283818547 -0.03649637807 -1.3191173 -0.7055641105 -0.6496421091 2 frontleft_fisheye_image/00002.jpg

13 -0.4101442178 0.7145934153 0.406842672 0.394483221 0.05870614899 -0.7207809122 -1.438350984 3 frontright_fisheye_image/00002.jpg

14 0.5557213013 0.7111386057 -0.3361195578 0.2692199133 -0.9900974053 0.4071140737 -0.7786386954 4 left_fisheye_image/00002.jpg

15 0.2627548582 0.3393253245 0.7149441703 -0.5519719577 0.9793848493 0.05128343482 0.6638343958 5 right_fisheye_image/00002.jpg

16 0.5599296942 0.7417232253 0.2894021687 -0.2292853664 -0.719350322 -0.05435003987 0.9469313611 1 back_fisheye_image/00003.jpg

17 -0.5701130586 0.8026342064 0.1745224831 -0.01706851014 -1.389771627 -0.8615177118 -0.9518146084 2 frontleft_fisheye_image/00003.jpg

18 -0.3943296296 0.6932522661 0.4487956208 0.4030979155 0.2821128128 -0.8672553952 -1.627357544 3 frontright_fisheye_image/00003.jpg

19 0.5603066278 0.7349440927 -0.2993930217 0.2372287545 -1.31244729 0.3926118516 -0.679465992 4 left_fisheye_image/00003.jpg

20 0.2350872618 0.2992358043 0.7250050077 -0.5740728627 1.301384619 0.08916180638 0.5694557738 5 right_fisheye_image/00003.jpg

21 0.5553472172 0.7273342225 0.3251539171 -0.2384309697 -0.5885496268 -0.1563950483 1.238694784 1 back_fisheye_image/00004.jpg

22 -0.5646038514 0.8024487089 0.1929110762 0.009158450316 -1.432148017 -0.9711319691 -1.250928165 2 frontleft_fisheye_image/00004.jpg

23 -0.3806461048 0.6793119068 0.4622915347 0.4241820519 0.5360662357 -0.9830081506 -1.808915484 3 frontright_fisheye_image/00004.jpg

24 0.5731231623 0.7356877975 -0.2802149982 0.2275365032 -1.599123744 0.3518483155 -0.5841096461 4 left_fisheye_image/00004.jpg

25 0.2204917573 0.2826824143 0.7386941046 -0.5707933579 1.601081782 0.1119616925 0.4649612162 5 right_fisheye_image/00004.jpg

26 0.5525202326 0.7320045867 0.3135657433 -0.2461040476 -0.6285614849 -0.2021322582 1.467176904 1 back_fisheye_image/00005.jpg

27 -0.5695905756 0.7985737864 0.1945402719 -0.0007525983228 -1.573151692 -1.083202659 -1.412887051 2 frontleft_fisheye_image/00005.jpg

28 -0.3832027805 0.6802413436 0.4658916563 0.4163800045 0.6234040728 -1.093483246 -2.010649903 3 frontright_fisheye_image/00005.jpg

29 0.5662901512 0.7398470641 -0.2852852398 0.2248424301 -1.855767863 0.3748148137 -0.6145299522 4 left_fisheye_image/00005.jpg

30 0.226915226 0.2834884311 0.7349390775 -0.5727201253 1.854323742 0.1201491915 0.5148429536 5 right_fisheye_image/00005.jpg

31 0.5555810392 0.7274645269 0.3241150251 -0.2389027448 -0.5829424315 -0.2909760233 1.735708957 1 back_fisheye_image/00006.jpg

32 -0.5651764749 0.8020151805 0.1930956351 0.007828041013 -1.670196365 -1.188651759 -1.654943255 2 frontleft_fisheye_image/00006.jpg

33 -0.3794666614 0.6804071458 0.462730514 0.4230031208 0.7884524273 -1.20640469 -2.203286935 3 frontright_fisheye_image/00006.jpg

34 0.5729582943 0.7357719197 -0.2816464893 0.2259064635 -2.118252288 0.3525689588 -0.5793331543 4 left_fisheye_image/00006.jpg

35 0.2245829005 0.2780895634 0.7369521528 -0.5736987363 2.126271857 0.142850218 0.4589706403 5 right_fisheye_image/00006.jpg

36 0.5531063446 0.7310270304 0.3165491598 -0.2438636543 -0.6322459315 -0.355751556 2.008228702 1 back_fisheye_image/00007.jpg

37 -0.5679574491 0.7998069521 0.1942456675 0.001340140409 -1.837426801 -1.316187717 -1.845385261 2 frontleft_fisheye_image/00007.jpg

38 -0.3821010839 0.6808776996 0.4648316225 0.4175354866 0.8790565222 -1.322718305 -2.429527851 3 frontright_fisheye_image/00007.jpg

39 0.5710767831 0.7353121189 -0.2879140375 0.2242607913 -2.399246482 0.3923409972 -0.6270023834 4 left_fisheye_image/00007.jpg

40 0.2281533459 0.2827273962 0.7366352898 -0.5704206518 2.407478637 0.1386635513 0.5240827007 5 right_fisheye_image/00007.jpg

