# Image list with two lines of data per image:
#   IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 180, mean observations per image: 0
1 0.4143017023 0.5503844201 0.5731607485 -0.443754263 0.2240303018 -0.02454975305 0.8496945129 1 back_fisheye_image/00000.jpg

2 -0.524242444 0.6595895682 0.4922918714 0.2185410141 -0.5327231819 -0.8128319732 -1.327767653 2 frontleft_fisheye_image/00000.jpg

3 -0.1896582017 0.4469430344 0.6957747331 0.5293101277 1.007488854 -0.8137455969 -1.03487058 3 frontright_fisheye_image/00000.jpg

4 0.6078294344 0.7935542455 0.02439973281 -0.01482198114 -1.159186059 0.1747141068 0.2070556893 4 left_fisheye_image/00000.jpg

5 -0.0168282212 -0.02477578755 0.7836069329 -0.6205345647 1.14510581 0.3169929371 -0.3139758831 5 right_fisheye_image/00000.jpg

6 0.4185964274 0.5474922424 0.5762600302 -0.4392649008 0.2187203017 -0.07769359658 1.042016219 1 back_fisheye_image/00001.jpg

7 -0.5215961543 0.6644132121 0.489461766 0.2166095913 -0.6798852036 -0.9393237232 -1.540190399 2 frontleft_fisheye_image/00001.jpg

8 -0.1889575257 0.4522216789 0.6919310444 0.5301151162 1.13141405 -0.9421449782 -1.26418679 3 frontright_fisheye_image/00001.jpg

9 0.6128306107 0.7897810952 0.02122438045 -0.01529672804 -1.486208388 0.1856210832 0.1983637124 4 left_fisheye_image/00001.jpg

10 -0.01453968384 -0.02432771327 0.7869936161 -0.6163098313 1.508399714 0.3229948152 -0.3023091086 5 right_fisheye_image/00001.jpg

11 0.4319518964 0.5570886744 0.5631778685 -0.4311617522 0.09097128088 -0.1920797521 1.530918971 1 back_fisheye_image/00002.jpg

12 -0.524308553 0.6750525445 0.4760340168 0.2068724687 -0.9887929419 -1.124611962 -1.80722471 2 frontleft_fisheye_image/00002.jpg

13 -0.2008512756 0.4681156647 0.6808856142 0.5262330946 1.220865681 -1.131254848 -1.67691216 3 frontright_fisheye_image/00002.jpg

14 0.6118107801 0.7910030624 0.001100328765 0.0007169009764 -1.889331008 0.218869222 0.05296204571 4 left_fisheye_image/00002.jpg

15 0.003285904628 -0.001620602313 0.7867949171 -0.6172036414 1.884378754 0.2849452074 -0.1450889517 5 right_fisheye_image/00002.jpg

16 0.4342534229 0.5658040982 0.5579693907 -0.4242167444 0.1997001242 -0.2416587691 1.660371508 1 back_fisheye_image/00003.jpg

17 -0.5219234896 0.6826013341 0.4685539119 0.2052036094 -0.9244486698 -1.187173573 -1.984312617 2 frontleft_fisheye_image/00003.jpg

18 -0.1998853714 0.4736565871 0.6743395727 0.530057937 1.417764979 -1.189846359 -1.679690689 3 frontright_fisheye_image/00003.jpg

19 0.6171216524 0.7868546038 -0.003226434726 0.003207601691 -2.02186811 0.1810246235 0.2359308128 4 left_fisheye_image/00003.jpg

20 0.004944177726 -0.0004846269133 0.7901617932 -0.6128781777 2.018502767 0.3476814249 -0.3559832155 5 right_fisheye_image/00003.jpg

21 0.4287409446 0.5509434532 0.5698691447 -0.4334647296 0.514375086 -0.2477774637 1.773691795 1 back_fisheye_image/00004.jpg

22 -0.5172846146 0.6730912783 0.4827845566 0.2151367717 -0.7202298798 -1.237655338 -2.205892206 2 frontleft_fisheye_image/00004.jpg

23 -0.1802827396 0.4481771321 0.6929131664 0.5352632399 1.781944053 -1.23464623 -1.54107011 3 frontright_fisheye_image/00004.jpg

24 0.6157996943 0.7872306104 0.02544998073 -0.02027316031 -2.098468098 0.09997796296 0.5891887564 4 left_fisheye_image/00004.jpg

25 -0.03080702801 -0.04456554387 0.7852943108 -0.6167476669 2.066903317 0.4503927764 -0.7911442558 5 right_fisheye_image/00004.jpg

