# Image list with two lines of data per image:
#   IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 115, mean observations per image: 0
1 0.4225277634 0.5411244915 0.5801320841 -0.4382936674 0.2757818398 -0.02181959427 0.8226020305 1 back_fisheye_image/00000.jpg

2 -0.5124126092 0.6662083382 0.4927118249 0.2254657972 -0.4767667439 -0.7973713238 -1.334967556 2 frontleft_fisheye_image/00000.jpg

3 -0.1793947926 0.4489312993 0.6899776415 0.5387105448 1.039226538 -0.7978801179 -0.9883397427 3 frontright_fisheye_image/00000.jpg

4 0.6193405335 0.7844864621 0.02543009376 -0.01875112484 -1.131990469 0.1576177371 0.2560010293 4 left_fisheye_image/00000.jpg

5 -0.01693660362 -0.02889377599 0.7925136855 -0.6089337891 1.11778902 0.3247933763 -0.3652000155 5 right_fisheye_image/00000.jpg

6 0.4192663265 0.5569992621 0.565676798 -0.440428575 0.1795347311 -0.1041984176 1.082266356 1 back_fisheye_image/00001.jpg

7 -0.5256657741 0.6650922824 0.4862231287 0.2119311655 -0.7034603425 -0.91838436 -1.520351812 2 frontleft_fisheye_image/00001.jpg

8 -0.1939354073 0.4550962309 0.6913379533 0.5266197041 1.102794601 -0.9209019083 -1.275309458 3 frontright_fisheye_image/00001.jpg

9 0.6102929399 0.7919678832 0.0153453926 -0.009691150869 -1.468405215 0.1765477843 0.1515028279 4 left_fisheye_image/00001.jpg

10 -0.01001520632 -0.01684345441 0.7868682309 -0.6168098418 1.495718555 0.2884505554 -0.2557042997 5 right_fisheye_image/00001.jpg

11 0.463753269 0.6060126956 0.5129569082 -0.3931370354 -0.2706256916 -0.1844060458 1.395373742 1 back_fisheye_image/00002.jpg

12 -0.5432230457 0.7202369716 0.4034601629 0.1529291478 -1.279315696 -1.038601552 -1.479259159 2 frontleft_fisheye_image/00002.jpg

13 -0.2525630069 0.5338230735 0.6295811133 0.5048489631 0.8018159719 -1.043135681 -1.769583713 3 frontright_fisheye_image/00002.jpg

14 0.6097801762 0.7862316937 -0.07779208702 0.0628987421 -1.721285163 0.2999602482 -0.3441611965 4 left_fisheye_image/00002.jpg

15 0.0762704688 0.09214957274 0.782013045 -0.6116754607 1.694179424 0.1528437434 0.3019777245 5 right_fisheye_image/00002.jpg

16 0.6102138548 0.7921786306 0.009549594829 -0.0009348028166 -1.681326561 0.1861322691 -0.04457333462 1 back_fisheye_image/00003.jpg

17 -0.5169294853 0.8170610052 -0.136895447 -0.2155338896 -1.743871253 -0.408405492 0.3265691922 2 frontleft_fisheye_image/00003.jpg

18 -0.5123848591 0.8092120832 0.1573376469 0.2405876667 -0.9973655282 -0.4306559174 -1.371529137 3 frontright_fisheye_image/00003.jpg

19 0.4400470776 0.5645477563 -0.549314963 0.4311582908 -0.2921990267 0.6194987225 -1.616456147 4 left_fisheye_image/00003.jpg

