# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
#
1 0.496073842 0.655979654 0.450576502 -0.347249554 -0.781364099 0.016844810 0.947838055 1 back_depth_in_visual_frame/00001.png

2 0.495198474 0.653628886 0.453554357 -0.349050419 -0.695524825 0.015035056 0.955122301 2 back_depth/00001.png

3 0.496073842 0.655979654 0.450576502 -0.347249554 -0.781364099 0.016844810 0.947838055 3 back_fisheye_image/00001.jpg

4 -0.472315494 0.284380086 0.771111369 -0.318485945 0.983122313 -1.424400598 -0.850053284 4 frontleft_depth/00001.png

5 -0.471644930 0.283804709 0.772407478 -0.316847968 0.908443187 -1.421091252 -0.854717458 5 frontleft_depth_in_visual_frame/00001.png

6 -0.471644930 0.283804709 0.772407478 -0.316847968 0.908443187 -1.421091252 -0.854717458 6 frontleft_fisheye_image/00001.jpg

7 -0.550817776 -0.007843326 0.824474503 0.129537848 0.986131910 0.183357193 -1.613048398 7 frontright_depth/00001.png

8 -0.548994434 -0.006668515 0.825215475 0.132589827 0.915153591 0.183546063 -1.611907554 8 frontright_depth_in_visual_frame/00001.png

9 -0.548994434 -0.006668515 0.825215475 0.132589827 0.915153591 0.183546063 -1.611907554 9 frontright_fisheye_image/00001.jpg

10 0.602160484 0.779405049 -0.135549025 0.107503410 -1.175589107 0.488446560 -0.741022718 10 left_depth/00001.png

11 0.599687301 0.780532764 -0.136745950 0.111553980 -1.249230179 0.486586747 -0.750422739 11 left_depth_in_visual_frame/00001.png

12 0.599687301 0.780532764 -0.136745950 0.111553980 -1.249230179 0.486586747 -0.750422739 12 left_fisheye_image/00001.jpg

13 -0.607007875 0.775254871 -0.138663768 -0.106271745 -1.161124990 -0.128144359 0.677777952 13 right_depth/00001.png

14 -0.609293774 0.773420212 -0.137227899 -0.108400997 -1.237784201 -0.137796203 0.676188706 14 right_depth_in_visual_frame/00001.png

15 -0.609293774 0.773420212 -0.137227899 -0.108400997 -1.237784201 -0.137796203 0.676188706 15 right_fisheye_image/00001.jpg

16 0.496556116 0.655460933 0.450317174 -0.347875597 -0.780855486 0.015749216 0.947749149 1 back_depth_in_visual_frame/00002.png

17 0.495682693 0.653108041 0.453295724 -0.349673479 -0.695012937 0.013941247 0.955030256 2 back_depth/00002.png

18 0.496556116 0.655460933 0.450317174 -0.347875597 -0.780855486 0.015749216 0.947749149 3 back_fisheye_image/00002.jpg

19 -0.471615876 0.284019276 0.771667936 -0.318496646 0.982192724 -1.424297427 -0.850873293 4 frontleft_depth/00002.png

20 -0.470943892 0.283445004 0.772962983 -0.316858023 0.907515864 -1.420985664 -0.855539721 5 frontleft_depth_in_visual_frame/00002.png

21 -0.470943892 0.283445004 0.772962983 -0.316858023 0.907515864 -1.420985664 -0.855539721 6 frontleft_fisheye_image/00002.jpg

22 -0.550026811 -0.007784422 0.824957968 0.129823959 0.985213147 0.184123002 -1.613325815 7 frontright_depth/00002.png

23 -0.548201913 -0.006607297 0.825696883 0.132874616 0.914240238 0.184318162 -1.612185401 8 frontright_depth_in_visual_frame/00002.png

24 -0.548201913 -0.006607297 0.825696883 0.132874616 0.914240238 0.184318162 -1.612185401 9 frontright_fisheye_image/00002.jpg

25 0.602212595 0.779411958 -0.135974355 0.106620659 -1.175784916 0.487276783 -0.740789392 10 left_depth/00002.png

26 0.599739355 0.780544218 -0.137169545 0.110670438 -1.249423362 0.485415216 -0.750196123 11 left_depth_in_visual_frame/00002.png

27 0.599739355 0.780544218 -0.137169545 0.110670438 -1.249423362 0.485415216 -0.750196123 12 left_fisheye_image/00002.jpg

28 -0.606982687 0.775315603 -0.137966131 -0.106878814 -1.161152808 -0.126874024 0.677448307 13 right_depth/00002.png

29 -0.609268089 0.773479296 -0.136528111 -0.109005728 -1.237817299 -0.136523814 0.675867577 14 right_depth_in_visual_frame/00002.png

30 -0.609268089 0.773479296 -0.136528111 -0.109005728 -1.237817299 -0.136523814 0.675867577 15 right_fisheye_image/00002.jpg

1 0.497186759 0.655267590 0.450209568 -0.347478139 -0.782701257 0.016345084 0.946279060 1 back_depth_in_visual_frame/00001.png

2 0.496312953 0.652916200 0.453190356 -0.349274091 -0.696872181 0.014529309 0.953574065 2 back_depth/00001.png

3 0.497186759 0.655267590 0.450209568 -0.347478139 -0.782701257 0.016345084 0.946279060 3 back_fisheye_image/00001.jpg

4 -0.471158142 0.284590498 0.771848837 -0.318225747 0.981789184 -1.425128125 -0.848519916 4 frontleft_depth/00001.png

5 -0.470486976 0.284016600 0.773142906 -0.316585886 0.907106105 -1.421824829 -0.853190426 5 frontleft_depth_in_visual_frame/00001.png

6 -0.470486976 0.284016600 0.773142906 -0.316585886 0.907106105 -1.421824829 -0.853190426 6 frontleft_fisheye_image/00001.jpg

7 -0.549950928 -0.007068432 0.824964255 0.130146044 0.984783639 0.181702273 -1.613014098 7 frontright_depth/00001.png

8 -0.548126368 -0.005891717 0.825700391 0.133197733 0.913795670 0.181898864 -1.611883852 8 frontright_depth_in_visual_frame/00001.png

9 -0.548126368 -0.005891717 0.825700391 0.133197733 0.913795670 0.181898864 -1.611883852 9 frontright_fisheye_image/00001.jpg

10 0.602657055 0.778981110 -0.136440536 0.106662476 -1.174236294 0.487906085 -0.742549716 10 left_depth/00001.png

11 0.600182763 0.780115074 -0.137638459 0.110710328 -1.247862847 0.486058166 -0.751940944 11 left_depth_in_visual_frame/00001.png

12 0.600182763 0.780115074 -0.137638459 0.110710328 -1.247862847 0.486058166 -0.751940944 12 left_fisheye_image/00001.jpg

13 -0.606454657 0.775640000 -0.138118464 -0.107324879 -1.159592991 -0.126596796 0.679301004 13 right_depth/00001.png

14 -0.608740193 0.773805449 -0.136677990 -0.109451502 -1.236256094 -0.136252983 0.677720050 14 right_depth_in_visual_frame/00001.png

15 -0.608740193 0.773805449 -0.136677990 -0.109451502 -1.236256094 -0.136252983 0.677720050 15 right_fisheye_image/00001.jpg

16 0.496386497 0.655897676 0.450833045 -0.346624076 -0.783136566 0.011779584 0.948440210 1 back_depth_in_visual_frame/00002.png

17 0.495508969 0.653548748 0.453812190 -0.348424157 -0.697274164 0.009963888 0.955741827 2 back_depth/00002.png

18 0.496386497 0.655897676 0.450833045 -0.346624076 -0.783136566 0.011779584 0.948440210 3 back_fisheye_image/00002.jpg

19 -0.472301051 0.284936144 0.771112480 -0.318007317 0.979638464 -1.427763153 -0.852268692 4 frontleft_depth/00002.png

20 -0.471631584 0.284360115 0.772407868 -0.316368550 0.904967319 -1.424447740 -0.856954496 5 frontleft_depth_in_visual_frame/00002.png

21 -0.471631584 0.284360115 0.772407868 -0.316368550 0.904967319 -1.424447740 -0.856954496 6 frontleft_fisheye_image/00002.jpg

