# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
#
1 0.411760802 0.535968734 0.583904484 -0.449717814 0.102367380 0.062961699 0.759570617 1 back_fisheye_image/00001.jpg

2 -0.525216729 0.106086959 0.819708448 -0.202412958 0.821612442 -0.573081512 -1.157853546 2 frontleft_fisheye_image/00001.jpg

3 -0.502040204 -0.186383670 0.805231723 0.254595038 0.823032940 0.837774108 -0.993804232 3 frontright_fisheye_image/00001.jpg

4 0.723197085 -0.689059547 -0.034822372 -0.031149938 -1.038741690 -0.300557926 -0.257084255 4 right_fisheye_image/00001.jpg

5 0.738555998 0.672668328 0.031823798 -0.032242897 -1.048513204 0.311848393 0.020407522 5 left_fisheye_image/00001.jpg

6 0.402663207 0.543418557 0.578324998 -0.456178485 0.107961073 0.056001464 0.747154630 1 back_fisheye_image/00002.jpg

7 -0.528856072 0.099882288 0.815233009 -0.213845562 0.808099628 -0.565904712 -1.156190002 2 frontleft_fisheye_image/00002.jpg

8 -0.501871212 -0.193543587 0.807376840 0.242505266 0.809474499 0.839472837 -0.986713449 3 frontright_fisheye_image/00002.jpg

9 0.718848019 -0.693607219 -0.035084827 -0.030587673 -1.022216480 -0.305914977 -0.251913588 4 right_fisheye_image/00002.jpg

10 0.737081860 0.674266640 0.032270171 -0.032147556 -1.036372202 0.310696409 0.020994706 5 left_fisheye_image/00002.jpg

